# Add info here for slot controlled events
# format: [CID],[CTOT]
1763876,0910
1944166,0912
1986026,0914
1268290,0916
1911195,0918
1764925,0920
1803172,0922
1739611,0924
1843568,0926
1579458,0928
1574981,0930
1871031,0932
866440,0934
1892191,0936
1789070,0938
1532989,0940
811651,0942
1956358,0944
1917160,0948
1779751,0950
1666714,0952
1696662,0954
1787765,0956
1735594,0958
1804040,1000
1700471,1004
1864582,1006
1886571,1008
1726410,1010
1447911,1012
1626780,1014
1567902,1016
1843306,1018
1612075,1020
1868822,1022
1883285,1024
1974359,1026
1620016,1028
1608558,1030
1956437,1032
1585264,1034
1650778,1036
1513289,1038
1899759,1040
1864986,1044
1865509,1046
1932933,1048
1622143,1050
1425919,1052
1711006,1054
1782585,1056
1868383,1058
1579329,1100
1926028,1102
1922947,1104
1471172,1106
1584855,1110
1910438,1112
1923528,1114
1732241,1116
1586253,1118
1363350,1120
1386930,1122
1875265,1124
1868512,1128
1397417,1130
1495212,1132
1494416,1134
